stt,file_path,duration,lastest_used_value
50,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\075.mp4,3:04,20966095
51,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\076.mp4,3:57,20965901
52,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\077.mp4,4:31,20965873
53,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\078.mp4,3:54,20965937
54,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\079.mp4,3:20,20966121
55,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\080.mp4,4:09,20965932
56,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\081.mp4,4:14,20965933
57,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\082.mp4,3:42,20966077
58,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\083.mp4,3:38,20966152
59,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\084.mp4,4:02,20966019
60,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\085.mp4,4:19,20965985
61,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\086.mp4,4:09,20966067
62,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\087.mp4,4:49,20965943
63,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\088.mp4,4:20,20966068
64,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\089.mp4,3:30,20966345
65,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\090.mp4,3:47,20966307
66,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\091.mp4,3:39,20966502
67,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\092.mp4,4:22,20971090
68,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\093.mp4,6:12,20965882
69,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\094.mp4,4:20,20966317
70,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\095.mp4,4:47,20966212
71,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\096.mp4,4:42,20966247
72,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\097.mp4,4:31,20966382
73,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\098.mp4,5:19,20966175
74,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\099.mp4,6:37,20965901
75,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\100.mp4,4:52,20966613
76,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\101.mp4,5:49,20966195
77,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\102.mp4,5:05,20966690
78,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\103.mp4,3:31,20967173
79,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\104.mp4,5:44,20966554
80,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\105.mp4,4:14,20967121
81,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\106.mp4,4:21,20967134
82,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\107.mp4,4:56,20967164
83,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\108.mp4,4:48,20967942
84,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\109.mp4,4:59,20967940
85,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\110.mp4,3:49,20967983
86,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\111.mp4,5:47,20967936
87,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\112.mp4,4:29,20967962
88,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\113.mp4,3:51,20967994
89,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\114.mp4,5:10,20967945
90,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\115.mp4,5:02,20967954
91,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\116.mp4,4:41,20971141
92,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\117.mp4,3:34,20968112
93,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\118.mp4,4:41,20967993
94,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\119.mp4,3:46,20970972
95,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\120.mp4,5:32,20968683
96,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\121.mp4,5:12,20968690
97,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\122.mp4,4:29,20968712
98,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bluey\123.mp4,3:56,20968730
