stt,file_path,duration,lastest_used_value
97,\\Fmc\E\Findtoys\V199\V199.mp4,4:36,105036904
98,\\Fmc\E\Findtoys\V2\2.mp4,5:38,112554613
99,\\Fmc\E\Findtoys\V20\V20.mp4,5:40,111189723
100,\\Fmc\E\Findtoys\V200\200.mp4,5:25,105128051
101,\\Fmc\E\Findtoys\V201\201.mp4,5:08,105057766
102,\\Fmc\E\Findtoys\V202\202.mp4,6:15,105056298
103,\\Fmc\E\Findtoys\V203\203.mp4,6:40,104943738
104,\\Fmc\E\Findtoys\V203\V203- K\C0166.MP4,4:33,264329384
105,\\Fmc\E\Findtoys\V204\V204\V204.mp4,4:33,104608923
106,\\Fmc\E\Findtoys\V205\V205--.mp4,4:03,104955874
107,\\Fmc\E\Findtoys\V206\V206.mp4,6:49,105037126
108,\\Fmc\E\Findtoys\V208\V208.mp4,6:18,104608481
109,\\Fmc\E\Findtoys\V208\V208-Y\C0170.MP4,4:23,264327473
113,\\Fmc\E\Findtoys\V208\V208-Y\C0176.MP4,1:52,264325834
114,\\Fmc\E\Findtoys\V209\209.mp4,6:49,104950037
118,\\Fmc\E\Findtoys\V209\V209-Y\3.MP4,5:34,264321409
132,\\Fmc\E\Findtoys\V21\V21.mp4,5:42,111189314
133,\\Fmc\E\Findtoys\V210\210.mp4,5:16,105144398
135,\\Fmc\E\Findtoys\V210\V210 Y\2.MP4,4:11,263981173
139,\\Fmc\E\Findtoys\V211\211.mp4,7:40,104690967
140,\\Fmc\E\Findtoys\V211\211_1.mp4,8:05,103412292
141,\\Fmc\E\Findtoys\V212\212.mp4,3:40,103745635
142,\\Fmc\E\Findtoys\V212\V212 K\C0040.MP4,2:46,263976099
143,\\Fmc\E\Findtoys\V214\V214.mp4,7:26,105060015
146,\\Fmc\E\Findtoys\V214\V214 Y\C0046.MP4,4:09,263913466
153,\\Fmc\E\Findtoys\V215\V215.mp4,5:40,105043222
155,\\Fmc\E\Findtoys\V215\V215 Y\C0063.MP4,6:34,263908930
159,\\Fmc\E\Findtoys\V215\V215 Y\C0068.MP4,4:10,263908396
161,\\Fmc\E\Findtoys\V216\V216.mp4,5:45,105037219
162,\\Fmc\E\Findtoys\V216\V216 Y\C0005.MP4,2:42,263892778
163,\\Fmc\E\Findtoys\V216\V216 Y\C0006.MP4,3:29,263892442
164,\\Fmc\E\Findtoys\V216\V216 Y\C0008.MP4,3:50,263892114
168,\\Fmc\E\Findtoys\V218\V218.mp4,8:57,104623176
169,\\Fmc\E\Findtoys\V219\V219.mp4,6:39,104623573
170,\\Fmc\E\Findtoys\V22\V22.mp4,4:35,11402879
171,\\Fmc\E\Findtoys\V220\V220\V220.mp4,6:46,104945058
